Model Name,Owner/Contributor,MCQ Accuracy,MCQ BertScore F1,MCQ Avg Rouge,SAQ BertScore F1,SAQ Avg Rouge,Consumer Queries BertScore F1,Consumer Queries Avg Rouge
GPT-4 turbo,Mardhiyah,0.8243,0.8559,0.1999,0.8654,0.2055,0.8252,0.0625
GPT-4o,Tobi,0.8276,0.8614,0.2293,0.8776,0.2426,0.8254,0.0674
GPT-4,Tobi,0.8253,0.8617,0.2225,0.8732,0.2199,0.8385,0.0808
GPT-4o mini,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT 3.5 turbo,Mardhiyah,0.683,0.8667,0.2536,0.8765,0.2542,0.8313,0.0761
Gemma-7B-Instruct,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi 3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude 3.5 sonnet,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude 3 sonnet,Mardhiyah,0.6893,0.8564,0.2178,0.8681,0.2234,0.8141,0.054
Claude 3 Opus,Mardhiyah,0.7907,0.859,0.2232,0.8661,0.2138,0.8172,0.0544
Claude 3 Haiku,Timothy,0.712,0.8558,0.2276,0.862,0.214,0.8163,0.0505
Meta-LLAMA-3.1-8B,Amina,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meta-LLAMA-3.1-70B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meta-LLAMA-3.1-405B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cohere CommandR,Henok,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenBioLLM-8B,Charles,0.5193,0.0,0.0,0.0,0.0,0.0,0.0
OpenBioLLM-70B,Charles,0.728,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3-mini-128k-instruct,Abraham,0.6676,0.866,0.2308,0.8718,0.227,0.8266,0.0672
Llama3 8B,Abraham,0.635,0.8592,0.2286,0.8624,0.2094,0.8344,0.0909
Phi-3-mini-4k-instruct,Amina,0.6606,0.866,0.2432,0.8681,0.2214,0.8186,0.0595
Mistral-7B-Instruct-v0.2,Amina,0.551,0.8613,0.2296,0.8505,0.1763,0.8259,0.0706
Mistral-7B-Instruct-v0.3,Amina,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JSL-MedLlama-3-8B-v2.0,Amina,0.6606,0.8577,0.2248,0.8721,0.2273,0.8303,0.0793
Gemini Ultra,Mercy,0.8003,0.8716,0.2642,0.8754,0.2356,0.8362,0.079
MedPalm 2,Mercy,0.7456,0.8735,0.2451,0.8716,0.2234,0.8379,0.0774
Gemini pro,Mercy,0.631,0.8677,0.2413,0.8601,0.2025,0.8213,0.0579
MedLM,Mercy,0.7043,0.8666,0.247,0.8633,0.2083,0.8303,0.0785
Meditron,Charles,0.5653,0.0,0.0,0.0,0.0,0.0,0.0
BioMistral-7B,Charles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orpo-Med-v0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixtral-8x7B-Instruct-v0.1,Charles,0.7203,0.0,0.0,0.0,0.0,0.0,0.0
PMC-LLama-7B,Charles,0.5197,0.0,0.0,0.0,0.0,0.0,0.0
Open-bio-med-merge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Med42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meta-LLAMA-3-8B,Charles,0.6676,0.0,0.0,0.0,0.0,0.0,0.0
Meta-LLAMA-3-70B,Charles,0.8036,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-7B-Instruct-v0.2,Charles,0.6757,0.0,0.0,0.0,0.0,0.0,0.0
MedAlpaca,Charles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
